NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 218.03; King County; Washington,2979,1623,1356,125104,171,149,80,228,1356,4795,33,0,6458,4950,53,033,021803
Census Tract 218.04; King County; Washington,2199,1110,1089,121194,60,78,77,343,1089,3487,175,0,5482,3355,53,033,021804
Census Tract 219.03; King County; Washington,2850,1299,1551,91450,177,36,90,442,1551,4754,63,0,6635,4210,53,033,021903
Census Tract 219.04; King County; Washington,1961,1432,529,167109,49,0,24,76,529,3890,54,0,5720,3228,53,033,021904
Census Tract 219.05; King County; Washington,2128,1657,471,130469,110,58,0,136,471,4170,43,0,5678,3363,53,033,021905
Census Tract 219.06; King County; Washington,1834,1312,522,153974,136,26,11,88,522,3318,38,0,4591,2454,53,033,021906
Census Tract 220.01; King County; Washington,2279,1325,954,115795,124,66,61,340,954,4060,38,0,5154,3442,53,033,022001
Census Tract 220.03; King County; Washington,2003,1275,728,130066,146,86,50,101,728,3825,72,7,5227,3306,53,033,022003
Census Tract 220.05; King County; Washington,2074,1362,712,120417,66,73,66,99,712,3420,31,0,4448,2313,53,033,022005
Census Tract 220.06; King County; Washington,1947,1276,671,128616,46,50,10,44,671,3603,24,0,4373,2919,53,033,022006
Census Tract 221.01; King County; Washington,1948,1669,279,180345,22,29,0,80,279,3678,27,0,4956,3745,53,033,022101
Census Tract 221.02; King County; Washington,2194,1705,489,175577,0,16,59,63,489,4390,22,0,6480,3952,53,033,022102
Census Tract 222.01; King County; Washington,1723,1101,622,128438,78,10,0,178,622,3458,0,0,4646,3575,53,033,022201
Census Tract 222.03; King County; Washington,2238,1572,666,154412,18,37,79,124,666,4001,16,0,5563,3717,53,033,022203
Census Tract 222.04; King County; Washington,1294,912,382,128625,28,33,33,34,382,2409,0,0,3166,2253,53,033,022204
Census Tract 222.05; King County; Washington,1985,723,1262,117754,107,47,56,275,1262,3018,11,0,4141,2966,53,033,022205
Census Tract 223; King County; Washington,1065,992,73,198375,10,9,0,0,73,1979,7,0,2528,1944,53,033,022300
Census Tract 224.01; King County; Washington,1538,859,679,174426,13,62,83,161,679,2591,24,0,3499,2570,53,033,022401
Census Tract 224.02; King County; Washington,2837,1424,1413,158260,182,51,47,334,1413,4573,0,0,6098,4786,53,033,022402
Census Tract 225.01; King County; Washington,1653,1215,438,190913,55,0,35,60,438,2993,28,0,4450,2791,53,033,022501
Census Tract 225.02; King County; Washington,2402,1219,1183,146970,100,131,26,215,1183,3561,0,0,4186,2933,53,033,022502
Census Tract 226.03; King County; Washington,2643,1854,789,163413,16,194,95,150,789,4492,38,0,5973,3158,53,033,022603
